Date;WAVE1;WAVE2;WAVE3;WAVE4;WAVE5
54;0,505579114;0,514182329;0,522734165;0,531233668;0,539680064
55;0,514182329;0,522734165;0,531233668;0,539680064;0,548072457
56;0,522734165;0,531233668;0,539680064;0,548072457;0,556410015
57;0,531233668;0,539680064;0,548072457;0,556410015;0,564691961
58;0,539680064;0,548072457;0,556410015;0,564691961;0,572917461
59;0,548072457;0,556410015;0,564691961;0,572917461;0,581085622
60;0,556410015;0,564691961;0,572917461;0,581085622;0,589195669
61;0,564691961;0,572917461;0,581085622;0,589195669;0,597246766
62;0,572917461;0,581085622;0,589195669;0,597246766;0,60523814
63;0,581085622;0,589195669;0,597246766;0,60523814;0,613169014
64;0,589195669;0,597246766;0,60523814;0,613169014;0,621038496
65;0,597246766;0,60523814;0,613169014;0,621038496;0,62884593
66;0,60523814;0,613169014;0,621038496;0,62884593;0,636590421
67;0,613169014;0,621038496;0,62884593;0,636590421;0,644271255
68;0,621038496;0,62884593;0,636590421;0,644271255;0,651887655
69;0,62884593;0,636590421;0,644271255;0,651887655;0,659438848
70;0,636590421;0,644271255;0,651887655;0,659438848;0,666924059
71;0,644271255;0,651887655;0,659438848;0,666924059;0,674342513
72;0,651887655;0,659438848;0,666924059;0,674342513;0,681693614
73;0,659438848;0,666924059;0,674342513;0,681693614;0,688976526
74;0,666924059;0,674342513;0,681693614;0,688976526;0,696190536
75;0,674342513;0,681693614;0,688976526;0,696190536;0,703334868
76;0,681693614;0,688976526;0,696190536;0,703334868;0,710408866
77;0,688976526;0,696190536;0,703334868;0,710408866;0,717411816
78;0,696190536;0,703334868;0,710408866;0,717411816;0,724343002
79;0,703334868;0,710408866;0,717411816;0,724343002;0,731201768
80;0,710408866;0,717411816;0,724343002;0,731201768;0,737987399
81;0,717411816;0,724343002;0,731201768;0,737987399;0,74469918
82;0,724343002;0,731201768;0,737987399;0,74469918;0,751336515
83;0,731201768;0,737987399;0,74469918;0,751336515;0,757898688
84;0,737987399;0,74469918;0,751336515;0,757898688;0,764385045
85;0,74469918;0,751336515;0,757898688;0,764385045;0,770794988
86;0,751336515;0,757898688;0,764385045;0,770794988;0,777127802
87;0,757898688;0,764385045;0,770794988;0,777127802;0,783382893
88;0,764385045;0,770794988;0,777127802;0,783382893;0,789559603
89;0,770794988;0,777127802;0,783382893;0,789559603;0,795657337
90;0,777127802;0,783382893;0,789559603;0,795657337;0,801675558
91;0,783382893;0,789559603;0,795657337;0,801675558;0,807613552
92;0,789559603;0,795657337;0,801675558;0,807613552;0,813470781
93;0,795657337;0,801675558;0,807613552;0,813470781;0,81924665
94;0,801675558;0,807613552;0,813470781;0,81924665;0,824940562
95;0,807613552;0,813470781;0,81924665;0,824940562;0,830551982
96;0,813470781;0,81924665;0,824940562;0,830551982;0,836080313
97;0,81924665;0,824940562;0,830551982;0,836080313;0,841525018
98;0,824940562;0,830551982;0,836080313;0,841525018;0,846885562
99;0,830551982;0,836080313;0,841525018;0,846885562;0,852161407
100;0,836080313;0,841525018;0,846885562;0,852161407;0,857352018
101;0,841525018;0,846885562;0,852161407;0,857352018;0,862456858
102;0,846885562;0,852161407;0,857352018;0,862456858;0,86747545
103;0,852161407;0,857352018;0,862456858;0,86747545;0,872407317
104;0,857352018;0,862456858;0,86747545;0,872407317;0,877251863
105;0,862456858;0,86747545;0,872407317;0,877251863;0,882008731
106;0,86747545;0,872407317;0,877251863;0,882008731;0,886677325
107;0,872407317;0,877251863;0,882008731;0,886677325;0,891257286
108;0,877251863;0,882008731;0,886677325;0,891257286;0,895748019
109;0,882008731;0,886677325;0,891257286;0,895748019;0,900149286
110;0,886677325;0,891257286;0,895748019;0,900149286;0,904460371
111;0,891257286;0,895748019;0,900149286;0,904460371;0,908681154
112;0,895748019;0,900149286;0,904460371;0,908681154;0,912810922
113;0,900149286;0,904460371;0,908681154;0,912810922;0,916849434
114;0,904460371;0,908681154;0,912810922;0,916849434;0,920796275
115;0,908681154;0,912810922;0,916849434;0,920796275;0,924650967
116;0,912810922;0,916849434;0,920796275;0,924650967;0,928413212
117;0,916849434;0,920796275;0,924650967;0,928413212;0,932082534
118;0,920796275;0,924650967;0,928413212;0,932082534;0,935658693
119;0,924650967;0,928413212;0,932082534;0,935658693;0,939141273
120;0,928413212;0,932082534;0,935658693;0,939141273;0,942529917
121;0,932082534;0,935658693;0,939141273;0,942529917;0,945824265
122;0,935658693;0,939141273;0,942529917;0,945824265;0,949024022
123;0,939141273;0,942529917;0,945824265;0,949024022;0,952128887
124;0,942529917;0,945824265;0,949024022;0,952128887;0,955138505
125;0,945824265;0,949024022;0,952128887;0,955138505;0,958052576
126;0,949024022;0,952128887;0,955138505;0,958052576;0,960870802
127;0,952128887;0,955138505;0,958052576;0,960870802;0,963592947
128;0,955138505;0,958052576;0,960870802;0,963592947;0,96621871
129;0,958052576;0,960870802;0,963592947;0,96621871;0,968747854
130;0,960870802;0,963592947;0,96621871;0,968747854;0,971180081
131;0,963592947;0,96621871;0,968747854;0,971180081;0,973515213
132;0,96621871;0,968747854;0,971180081;0,973515213;0,97575289
133;0,968747854;0,971180081;0,973515213;0,97575289;0,977893054
134;0,971180081;0,973515213;0,97575289;0,977893054;0,979935348
135;0,973515213;0,97575289;0,977893054;0,979935348;0,981879711
136;0,97575289;0,977893054;0,979935348;0,981879711;0,983725786
137;0,977893054;0,979935348;0,981879711;0,983725786;0,985473514
138;0,979935348;0,981879711;0,983725786;0,985473514;0,987122655
139;0,981879711;0,983725786;0,985473514;0,987122655;0,988673091
140;0,983725786;0,985473514;0,987122655;0,988673091;0,990124643
141;0,985473514;0,987122655;0,988673091;0,990124643;0,991477132
142;0,987122655;0,988673091;0,990124643;0,991477132;0,992730439
143;0,988673091;0,990124643;0,991477132;0,992730439;0,993884504
144;0,990124643;0,991477132;0,992730439;0,993884504;0,994939148
145;0,991477132;0,992730439;0,993884504;0,994939148;0,995894253
146;0,992730439;0,993884504;0,994939148;0,995894253;0,996749759
147;0,993884504;0,994939148;0,995894253;0,996749759;0,997505605
148;0,994939148;0,995894253;0,996749759;0,997505605;0,998161614
149;0,995894253;0,996749759;0,997505605;0,998161614;0,998717844
150;0,996749759;0,997505605;0,998161614;0,998717844;0,999174178
151;0,997505605;0,998161614;0,998717844;0,999174178;0,999530554
152;0,998161614;0,998717844;0,999174178;0,999530554;0,999786973
153;0,998717844;0,999174178;0,999530554;0,999786973;0,999943376
154;0,999174178;0,999530554;0,999786973;0,999943376;0,999999821
155;0,999530554;0,999786973;0,999943376;0,999999821;0,999956191
156;0,999786973;0,999943376;0,999999821;0,999956191;0,999812543
157;0,999943376;0,999999821;0,999956191;0,999812543;0,999568939
158;0,999999821;0,999956191;0,999812543;0,999568939;0,999225318
159;0,999956191;0,999812543;0,999568939;0,999225318;0,998781741
160;0,999812543;0,999568939;0,999225318;0,998781741;0,998238325
161;0,999568939;0,999225318;0,998781741;0,998238325;0,997595012
162;0,999225318;0,998781741;0,998238325;0,997595012;0,996851981
163;0,998781741;0,998238325;0,997595012;0,996851981;0,996009171
164;0,998238325;0,997595012;0,996851981;0,996009171;0,995066822
165;0,997595012;0,996851981;0,996009171;0,995066822;0,994024873
166;0,996851981;0,996009171;0,995066822;0,994024873;0,992883563
167;0,996009171;0,995066822;0,994024873;0,992883563;0,991642892
168;0,995066822;0,994024873;0,992883563;0,991642892;0,99030304
169;0,994024873;0,992883563;0,991642892;0,99030304;0,988864183
170;0,992883563;0,991642892;0,99030304;0,988864183;0,987326384
171;0,991642892;0,99030304;0,988864183;0,987326384;0,985689878
172;0,99030304;0,988864183;0,987326384;0,985689878;0,983954728
173;0,988864183;0,987326384;0,985689878;0,983954728;0,98212117
174;0,987326384;0,985689878;0,983954728;0,98212117;0,980189443
175;0,985689878;0,983954728;0,98212117;0,980189443;0,978159606
176;0,983954728;0,98212117;0,980189443;0,978159606;0,976031959
177;0,98212117;0,980189443;0,978159606;0,976031959;0,973806679
178;0,980189443;0,978159606;0,976031959;0,973806679;0,971484065
179;0,978159606;0,976031959;0,973806679;0,971484065;0,969064236
180;0,976031959;0,973806679;0,971484065;0,969064236;0,966547489
181;0,973806679;0,971484065;0,969064236;0,966547489;0,963934064
182;0,971484065;0,969064236;0,966547489;0,963934064;0,961224198
183;0,969064236;0,966547489;0,963934064;0,961224198;0,95841825
184;0,966547489;0,963934064;0,961224198;0,95841825;0,955516338
185;0,963934064;0,961224198;0,95841825;0,955516338;0,952519
186;0,961224198;0,95841825;0,955516338;0,952519;0,949426293
187;0,95841825;0,955516338;0,952519;0,949426293;0,946238637
188;0,955516338;0,952519;0,949426293;0,946238637;0,942956328
189;0,952519;0,949426293;0,946238637;0,942956328;0,939579785
190;0,949426293;0,946238637;0,942956328;0,939579785;0,936109185
191;0,946238637;0,942956328;0,939579785;0,936109185;0,932545006
192;0,942956328;0,939579785;0,936109185;0,932545006;0,928887486
193;0,939579785;0,936109185;0,932545006;0,928887486;0,925137103
194;0,936109185;0,932545006;0,928887486;0,925137103;0,921294212
195;0,932545006;0,928887486;0,925137103;0,921294212;0,917359173
196;0,928887486;0,925137103;0,921294212;0,917359173;0,913332343
197;0,925137103;0,921294212;0,917359173;0,913332343;0,909214139
198;0,921294212;0,917359173;0,913332343;0,909214139;0,905005097
199;0,917359173;0,913332343;0,909214139;0,905005097;0,900705516
200;0,913332343;0,909214139;0,905005097;0,900705516;0,896315694
201;0,909214139;0,905005097;0,900705516;0,896315694;0,891836345
202;0,905005097;0,900705516;0,896315694;0,891836345;0,887267828
203;0,900705516;0,896315694;0,891836345;0,887267828;0,882610559
204;0,896315694;0,891836345;0,887267828;0,882610559;0,877864897
205;0,891836345;0,887267828;0,882610559;0,877864897;0,873031557
206;0,887267828;0,882610559;0,877864897;0,873031557;0,868110836
207;0,882610559;0,877864897;0,873031557;0,868110836;0,86310333
208;0,877864897;0,873031557;0,868110836;0,86310333;0,858009398
209;0,873031557;0,868110836;0,86310333;0,858009398;0,852829754
210;0,868110836;0,86310333;0,858009398;0,852829754;0,847564816
211;0,86310333;0,858009398;0,852829754;0,847564816;0,842215121
212;0,858009398;0,852829754;0,847564816;0,842215121;0,836781144
213;0,852829754;0,847564816;0,842215121;0,836781144;0,831263363
214;0,847564816;0,842215121;0,836781144;0,831263363;0,825662553
215;0,842215121;0,836781144;0,831263363;0,825662553;0,819979191
216;0,836781144;0,831263363;0,825662553;0,819979191;0,814213812
217;0,831263363;0,825662553;0,819979191;0,814213812;0,808366835
218;0,825662553;0,819979191;0,814213812;0,808366835;0,802439153
219;0,819979191;0,814213812;0,808366835;0,802439153;0,796431243
220;0,814213812;0,808366835;0,802439153;0,796431243;0,790343642
221;0,808366835;0,802439153;0,796431243;0,790343642;0,784176886
222;0,802439153;0,796431243;0,790343642;0,784176886;0,777931809
223;0,796431243;0,790343642;0,784176886;0,777931809;0,771608889
224;0,790343642;0,784176886;0,777931809;0,771608889;0,76520884
225;0,784176886;0,777931809;0,771608889;0,76520884;0,75873214
226;0,777931809;0,771608889;0,76520884;0,75873214;0,752179623
227;0,771608889;0,76520884;0,75873214;0,752179623;0,745551944
228;0,76520884;0,75873214;0,752179623;0,745551944;0,73884964
229;0,75873214;0,752179623;0,745551944;0,73884964;0,732073486
230;0,752179623;0,745551944;0,73884964;0,732073486;0,725223899
231;0,745551944;0,73884964;0,732073486;0,725223899;0,718302011
232;0,73884964;0,732073486;0,725223899;0,718302011;0,711308181
233;0,732073486;0,725223899;0,718302011;0,711308181;0,704243302
234;0,725223899;0,718302011;0,711308181;0,704243302;0,697107732
235;0,718302011;0,711308181;0,704243302;0,697107732;0,689902663
236;0,711308181;0,704243302;0,697107732;0,689902663;0,682628572
237;0,704243302;0,697107732;0,689902663;0,682628572;0,675286233
238;0,697107732;0,689902663;0,682628572;0,675286233;0,667876124
239;0,689902663;0,682628572;0,675286233;0,667876124;0,660399437
240;0,682628572;0,675286233;0,667876124;0,660399437;0,652856708
241;0,675286233;0,667876124;0,660399437;0,652856708;0,645248652
242;0,667876124;0,660399437;0,652856708;0,645248652;0,637575865
243;0,660399437;0,652856708;0,645248652;0,637575865;0,62983948
244;0,652856708;0,645248652;0,637575865;0,62983948;0,622040153
245;0,645248652;0,637575865;0,62983948;0,622040153;0,614178598
246;0,637575865;0,62983948;0,622040153;0,614178598;0,606255591
247;0,62983948;0,622040153;0,614178598;0,606255591;0,598271787
248;0,622040153;0,614178598;0,606255591;0,598271787;0,59022826
249;0,614178598;0,606255591;0,598271787;0,59022826;0,582125783
250;0,606255591;0,598271787;0,59022826;0,582125783;0,573965073
251;0,598271787;0,59022826;0,582125783;0,573965073;0,565746725
252;0,59022826;0,582125783;0,573965073;0,565746725;0,557471991
253;0,582125783;0,573965073;0,565746725;0,557471991;0,549141526
254;0,573965073;0,565746725;0,557471991;0,549141526;0,540756106
255;0,565746725;0,557471991;0,549141526;0,540756106;0,532316387
256;0,557471991;0,549141526;0,540756106;0,532316387;0,523823678
257;0,549141526;0,540756106;0,532316387;0,523823678;0,515278518
258;0,540756106;0,532316387;0,523823678;0,515278518;0,506681859
259;0,532316387;0,523823678;0,515278518;0,506681859;0,498034537
260;0,523823678;0,515278518;0,506681859;0,498034537;0,489337176
261;0,515278518;0,506681859;0,498034537;0,489337176;0,480591089
262;0,506681859;0,498034537;0,489337176;0,480591089;0,47179693
263;0,498034537;0,489337176;0,480591089;0,47179693;0,462955564
264;0,489337176;0,480591089;0,47179693;0,462955564;0,454067707
265;0,480591089;0,47179693;0,462955564;0,454067707;0,44513464
266;0,47179693;0,462955564;0,454067707;0,44513464;0,436157048
267;0,462955564;0,454067707;0,44513464;0,436157048;0,427135825
268;0,454067707;0,44513464;0,436157048;0,427135825;0,418071657
269;0,44513464;0,436157048;0,427135825;0,418071657;0,408965915
270;0,436157048;0,427135825;0,418071657;0,408965915;0,399819255
271;0,427135825;0,418071657;0,408965915;0,399819255;0,3906326
272;0,418071657;0,408965915;0,399819255;0,3906326;0,381406665
273;0,408965915;0,399819255;0,3906326;0,381406665;0,372142792
274;0,399819255;0,3906326;0,381406665;0,372142792;0,362841725
275;0,3906326;0,381406665;0,372142792;0,362841725;0,35350433
276;0,381406665;0,372142792;0,362841725;0,35350433;0,344131619
277;0,372142792;0,362841725;0,35350433;0,344131619;0,334724218
278;0,362841725;0,35350433;0,344131619;0,334724218;0,325283587
279;0,35350433;0,344131619;0,334724218;0,325283587;0,315810412
280;0,344131619;0,334724218;0,325283587;0,315810412;0,306305677
281;0,334724218;0,325283587;0,315810412;0,306305677;0,296770066
282;0,325283587;0,315810412;0,306305677;0,296770066;0,287204981
283;0,315810412;0,306305677;0,296770066;0,287204981;0,277611196
284;0,306305677;0,296770066;0,287204981;0,277611196;0,267989606
285;0,296770066;0,287204981;0,277611196;0,267989606;0,258341014
286;0,287204981;0,277611196;0,267989606;0,258341014;0,248666808
287;0,277611196;0,267989606;0,258341014;0,248666808;0,238967732
288;0,267989606;0,258341014;0,248666808;0,238967732;0,229244754
289;0,258341014;0,248666808;0,238967732;0,229244754;0,219498605
290;0,248666808;0,238967732;0,229244754;0,219498605;0,209730744
291;0,238967732;0,229244754;0,219498605;0,209730744;0,199941903
292;0,229244754;0,219498605;0,209730744;0,199941903;0,190133065
293;0,219498605;0,209730744;0,199941903;0,190133065;0,180305213
294;0,209730744;0,199941903;0,190133065;0,180305213;0,170459092
295;0,199941903;0,190133065;0,180305213;0,170459092;0,160596147
296;0,190133065;0,180305213;0,170459092;0,160596147;0,150717154
297;0,180305213;0,170459092;0,160596147;0,150717154;0,140823066
298;0,170459092;0,160596147;0,150717154;0,140823066;0,130914673
299;0,160596147;0,150717154;0,140823066;0,130914673;0,12099342
300;0,150717154;0,140823066;0,130914673;0,12099342;0,111060068
301;0,140823066;0,130914673;0,12099342;0,111060068;0,101115607
302;0,130914673;0,12099342;0,111060068;0,101115607;0,091160789
303;0,12099342;0,111060068;0,101115607;0,091160789;0,08119709
304;0,111060068;0,101115607;0,091160789;0,08119709;0,071225278
305;0,101115607;0,091160789;0,08119709;0,071225278;0,061246339
306;0,091160789;0,08119709;0,071225278;0,061246339;0,051261034
307;0,08119709;0,071225278;0,061246339;0,051261034;0,041270841
308;0,071225278;0,061246339;0,051261034;0,041270841;0,03127652
309;0,061246339;0,051261034;0,041270841;0,03127652;0,021279072
310;0,051261034;0,041270841;0,03127652;0,021279072;0,011279495
311;0,041270841;0,03127652;0,021279072;0,011279495;0,001278551
312;0,03127652;0,021279072;0,011279495;0,001278551;-0,008722282
313;0,021279072;0,011279495;0,001278551;-0,008722282;-0,018722244
314;0,011279495;0,001278551;-0,008722282;-0,018722244;-0,02872033
315;0,001278551;-0,008722282;-0,018722244;-0,02872033;-0,038715784
316;-0,008722282;-0,018722244;-0,02872033;-0,038715784;-0,048707128
317;-0,018722244;-0,02872033;-0,038715784;-0,048707128;-0,058693599
318;-0,02872033;-0,038715784;-0,048707128;-0,058693599;-0,068674199
319;-0,038715784;-0,048707128;-0,058693599;-0,068674199;-0,078648172
320;-0,048707128;-0,058693599;-0,068674199;-0,078648172;-0,088614039
321;-0,058693599;-0,068674199;-0,078648172;-0,088614039;-0,09857104
322;-0,068674199;-0,078648172;-0,088614039;-0,09857104;-0,108518183
323;-0,078648172;-0,088614039;-0,09857104;-0,108518183;-0,11845471
324;-0,088614039;-0,09857104;-0,108518183;-0,11845471;-0,128379151
325;-0,09857104;-0,108518183;-0,11845471;-0,128379151;-0,138290763
326;-0,108518183;-0,11845471;-0,128379151;-0,138290763;-0,148188531
327;-0,11845471;-0,128379151;-0,138290763;-0,148188531;-0,158071473
328;-0,128379151;-0,138290763;-0,148188531;-0,158071473;-0,167938858
329;-0,138290763;-0,148188531;-0,158071473;-0,167938858;-0,177789196
330;-0,148188531;-0,158071473;-0,167938858;-0,177789196;-0,187621757
331;-0,158071473;-0,167938858;-0,177789196;-0,187621757;-0,197435543
332;-0,167938858;-0,177789196;-0,187621757;-0,197435543;-0,207229823
333;-0,177789196;-0,187621757;-0,197435543;-0,207229823;-0,217003152
334;-0,187621757;-0,197435543;-0,207229823;-0,217003152;-0,22675477
335;-0,197435543;-0,207229823;-0,217003152;-0,22675477;-0,236483708
336;-0,207229823;-0,217003152;-0,22675477;-0,236483708;-0,246189222
337;-0,217003152;-0,22675477;-0,236483708;-0,246189222;-0,255869865
338;-0,22675477;-0,236483708;-0,246189222;-0,255869865;-0,265524954
339;-0,236483708;-0,246189222;-0,255869865;-0,265524954;-0,275153458
340;-0,246189222;-0,255869865;-0,265524954;-0,275153458;-0,284754664
341;-0,255869865;-0,265524954;-0,275153458;-0,284754664;-0,29432717
342;-0,265524954;-0,275153458;-0,284754664;-0,29432717;-0,303870261
343;-0,275153458;-0,284754664;-0,29432717;-0,303870261;-0,313382924
344;-0,284754664;-0,29432717;-0,303870261;-0,313382924;-0,322864264
345;-0,29432717;-0,303870261;-0,313382924;-0,322864264;-0,332313538
346;-0,303870261;-0,313382924;-0,322864264;-0,332313538;-0,341729343
347;-0,313382924;-0,322864264;-0,332313538;-0,341729343;-0,351110965
348;-0,322864264;-0,332313538;-0,341729343;-0,351110965;-0,36045748
349;-0,332313538;-0,341729343;-0,351110965;-0,36045748;-0,369768143
350;-0,341729343;-0,351110965;-0,36045748;-0,369768143;-0,379041612
351;-0,351110965;-0,36045748;-0,369768143;-0,379041612;-0,388277173
352;-0,36045748;-0,369768143;-0,379041612;-0,388277173;-0,397473902
353;-0,369768143;-0,379041612;-0,388277173;-0,397473902;-0,406631082
354;-0,379041612;-0,388277173;-0,397473902;-0,406631082;-0,415747404
355;-0,388277173;-0,397473902;-0,406631082;-0,415747404;-0,424822122
356;-0,397473902;-0,406631082;-0,415747404;-0,424822122;-0,433854342
357;-0,406631082;-0,415747404;-0,424822122;-0,433854342;-0,442843378
358;-0,415747404;-0,424822122;-0,433854342;-0,442843378;-0,451787919
359;-0,424822122;-0,433854342;-0,442843378;-0,451787919;-0,46068728
360;-0,433854342;-0,442843378;-0,451787919;-0,46068728;-0,469540566
361;-0,442843378;-0,451787919;-0,46068728;-0,469540566;-0,478346884
362;-0,451787919;-0,46068728;-0,469540566;-0,478346884;-0,487105548
363;-0,46068728;-0,469540566;-0,478346884;-0,487105548;-0,495815307
364;-0,469540566;-0,478346884;-0,487105548;-0,495815307;-0,504475474
365;-0,478346884;-0,487105548;-0,495815307;-0,504475474;-0,513085186
366;-0,487105548;-0,495815307;-0,504475474;-0,513085186;-0,521643758
367;-0,495815307;-0,504475474;-0,513085186;-0,521643758;-0,530149937
368;-0,504475474;-0,513085186;-0,521643758;-0,530149937;-0,538603127
369;-0,513085186;-0,521643758;-0,530149937;-0,538603127;-0,547002494
370;-0,521643758;-0,530149937;-0,538603127;-0,547002494;-0,555347264
371;-0,530149937;-0,538603127;-0,547002494;-0,555347264;-0,563636303
372;-0,538603127;-0,547002494;-0,555347264;-0,563636303;-0,571869016
373;-0,547002494;-0,555347264;-0,563636303;-0,571869016;-0,580044508
374;-0,555347264;-0,563636303;-0,571869016;-0,580044508;-0,588162005
375;-0,563636303;-0,571869016;-0,580044508;-0,588162005;-0,596220791
376;-0,571869016;-0,580044508;-0,588162005;-0,596220791;-0,604219854
377;-0,580044508;-0,588162005;-0,596220791;-0,604219854;-0,612158418
378;-0,588162005;-0,596220791;-0,604219854;-0,612158418;-0,620035768
379;-0,596220791;-0,604219854;-0,612158418;-0,620035768;-0,627851307
380;-0,604219854;-0,612158418;-0,620035768;-0,627851307;-0,635603845
381;-0,612158418;-0,620035768;-0,627851307;-0,635603845;-0,643292785
382;-0,620035768;-0,627851307;-0,635603845;-0,643292785;-0,650917411
383;-0,627851307;-0,635603845;-0,643292785;-0,650917411;-0,658477128
384;-0,635603845;-0,643292785;-0,650917411;-0,658477128;-0,665970802
385;-0,643292785;-0,650917411;-0,658477128;-0,665970802;-0,673397839
386;-0,650917411;-0,658477128;-0,665970802;-0,673397839;-0,680757523
387;-0,658477128;-0,665970802;-0,673397839;-0,680757523;-0,688049316
388;-0,665970802;-0,673397839;-0,680757523;-0,688049316;-0,695272148
389;-0,673397839;-0,680757523;-0,688049316;-0,695272148;-0,702425361
390;-0,680757523;-0,688049316;-0,695272148;-0,702425361;-0,709508359
391;-0,688049316;-0,695272148;-0,702425361;-0,709508359;-0,716520429
392;-0,695272148;-0,702425361;-0,709508359;-0,716520429;-0,723460972
393;-0,702425361;-0,709508359;-0,716520429;-0,723460972;-0,730328977
394;-0,709508359;-0,716520429;-0,723460972;-0,730328977;-0,737123907
395;-0,716520429;-0,723460972;-0,730328977;-0,737123907;-0,743845165
396;-0,723460972;-0,730328977;-0,737123907;-0,743845165;-0,750492156
397;-0,730328977;-0,737123907;-0,743845165;-0,750492156;-0,757063925
398;-0,737123907;-0,743845165;-0,750492156;-0,757063925;-0,763560116
399;-0,743845165;-0,750492156;-0,757063925;-0,763560116;-0,769979656
400;-0,750492156;-0,757063925;-0,763560116;-0,769979656;-0,776322484
401;-0,757063925;-0,763560116;-0,769979656;-0,776322484;-0,782587409
402;-0,763560116;-0,769979656;-0,776322484;-0,782587409;-0,788774252
403;-0,769979656;-0,776322484;-0,782587409;-0,788774252;-0,794882298
404;-0,776322484;-0,782587409;-0,788774252;-0,794882298;-0,800910473
405;-0,782587409;-0,788774252;-0,794882298;-0,800910473;-0,806858897
406;-0,788774252;-0,794882298;-0,800910473;-0,806858897;-0,812726557
407;-0,794882298;-0,800910473;-0,806858897;-0,812726557;-0,818512738
408;-0,800910473;-0,806858897;-0,812726557;-0,818512738;-0,82421726
409;-0,806858897;-0,812726557;-0,818512738;-0,82421726;-0,829839051
410;-0,812726557;-0,818512738;-0,82421726;-0,829839051;-0,83537817
411;-0,818512738;-0,82421726;-0,829839051;-0,83537817;-0,840833724
412;-0,82421726;-0,829839051;-0,83537817;-0,840833724;-0,846204877
413;-0,829839051;-0,83537817;-0,840833724;-0,846204877;-0,85149169
414;-0,83537817;-0,840833724;-0,846204877;-0,85149169;-0,856693089
415;-0,840833724;-0,846204877;-0,85149169;-0,856693089;-0,861809015
416;-0,846204877;-0,85149169;-0,856693089;-0,861809015;-0,866838753
417;-0,85149169;-0,856693089;-0,861809015;-0,866838753;-0,871781528
418;-0,856693089;-0,861809015;-0,866838753;-0,871781528;-0,876637399
419;-0,861809015;-0,866838753;-0,871781528;-0,876637399;-0,881405592
